MSA name,Output
117.ID_4:binShort:2_left_left__REDUCED__25269-25332___25293-25371__DOTS_1,no significant pairs
1170.ID_509:binShort:3_left_left__REDUCED__16480-16538___16532-16585__DOTS_1,no significant pairs
1171.ID_195:binShort:3_left_left__REDUCED__17592-17659___17653-17700__DOTS_1,no significant pairs
1172.ID_744:binShort:2_left_left__REDUCED__20929-20989___20983-21033__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1173.ID_323_left__REDUCED__2428-2482___2477-2533__DOTS_1,no significant pairs
1174.ID_196_left__REDUCED__12580-12648___12643-12723__DOTS_1,no significant pairs
1175.ID_698_left__REDUCED__4171-4229___4224-4267__DOTS_1,no significant pairs
1176.ID_928:binShort:1_left_left__REDUCED__17983-18034___18029-18079__DOTS_1,no significant pairs
1177.ID_883:binShort:2_left_left__REDUCED__14550-14600___14595-14644__DOTS_1,no significant pairs
1178.ID_342:binShort:4_left_left__REDUCED__14025-14121___14116-14180__DOTS_1,no significant pairs
1179.ID_814:binShort:3_left_left__REDUCED__4823-4872___4867-4921__DOTS_1,no significant pairs
118.ID_17:binShort:4_left_left__REDUCED__28047-28120___28082-28142__DOTS_1,no significant pairs
1180.ID_747:binShort:4_left_left__REDUCED__18834-18896___18891-18938__DOTS_1,no significant pairs
1181.ID_339:binShort:4_left_left__REDUCED__28658-28693___28688-28746__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1182.ID_832:binShort:2_left_left__REDUCED__152-240___235-279__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1183.ID_876:binShort:2_left_left__REDUCED__4711-4755___4750-4830__DOTS_1,no significant pairs
1184.ID_924:binShort:2_left_left__REDUCED__14796-14851___14846-14910__DOTS_1,no significant pairs
1185.ID_648:binShort:1_left_left__REDUCED__19079-19136___19131-19185__DOTS_1,no significant pairs
1186.ID_608:binShort:3_left_left__REDUCED__803-855___850-944__DOTS_1,no significant pairs
1187.ID_813:binShort:2_left_left__REDUCED__7598-7638___7633-7685__DOTS_1,no significant pairs
1188.ID_928:binShort:2_left_left__REDUCED__9808-9859___9854-9906__DOTS_1,no significant pairs
1189.ID_644:binShort:1_left_left__REDUCED__23799-23837___23832-23878__DOTS_1,no significant pairs
119.ID_825_left__REDUCED__29242-29331___29293-29354__DOTS_1,no significant pairs
1190.ID_616:binShort:1_left_left__REDUCED__26976-27043___27038-27100__DOTS_1,no significant pairs
1191.ID_819:binShort:3_left_left__REDUCED__3868-3898___3893-3940__DOTS_1,no significant pairs
1192.ID_786:binShort:3_left_left__REDUCED__7045-7110___7105-7157__DOTS_1,no significant pairs
1193.ID_920:binShort:1_left_left__REDUCED__16165-16202___16197-16255__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1194.ID_667:binShort:2_left_left__REDUCED__16760-16814___16809-16861__DOTS_1,no significant pairs
1195.ID_342:binShort:2_left_left__REDUCED__19055-19112___19107-19145__DOTS_1,no significant pairs
1196.ID_560:binShort:1_left_left__REDUCED__24550-24597___24592-24656__DOTS_1,no significant pairs
1197.ID_352:binShort:3_left_left__REDUCED__25598-25661___25656-25694__DOTS_1,no significant pairs
1198.ID_336_left__REDUCED__1011-1233___1229-1310__DOTS_1,no significant pairs
1199.ID_216_left__REDUCED__1095-1241___1237-1308__DOTS_1,no significant pairs
12.ID_1049_left__REDUCED__3190-3276___3195-3280__DOTS_1,no significant pairs
120.ID_181:binShort:2_left_left__REDUCED__29474-29555___29517-29564__DOTS_1,no significant pairs
1200.ID_632:binShort:4_left_left__REDUCED__11932-11982___11978-12045__DOTS_1,no significant pairs
1201.ID_719:binShort:3_left_left__REDUCED__18444-18510___18506-18553__DOTS_1,no significant pairs
1202.ID_941:binShort:2_left_left__REDUCED__19775-19808___19804-19877__DOTS_1,------------BASE-PAIRS IDENTIFIED - SEE TABLE OF SUGGESTED CO-VARYING POSITIONS------------
1203.ID_831:binShort:2_left_left__REDUCED__8463-8523___8519-8579__DOTS_1,no significant pairs
1204.ID_638:binShort:1_left_left__REDUCED__16176-16234___16230-16266__DOTS_1,no significant pairs
1205.ID_769:binShort:4_left_left__REDUCED__3865-3891___3887-3952__DOTS_1,no significant pairs
1206.ID_673:binShort:3_left_left__REDUCED__24734-24779___24775-24819__DOTS_1,no significant pairs
1207.ID_430:binShort:1_left_left__REDUCED__25443-25490___25486-25554__DOTS_1,no significant pairs
